phase_id,frame_name,frame_number,score_1,score_2,score_3,score_4,score_5
P1_V12_Phase2,frame430.jpg,430,5.0,4.0,5.0,5.0,5.0
P1_V12_Phase20,frame4840.jpg,4840,7.0,6.0,7.0,7.0,7.0
P1_V12_Phase20,frame4841.jpg,4841,7.0,6.0,7.0,7.0,7.0
P1_V12_Phase20,frame4842.jpg,4842,7.0,6.0,7.0,7.0,7.0
P1_V12_Phase20,frame4843.jpg,4843,7.0,6.0,7.0,7.0,7.0
P1_V12_Phase24,frame5550.jpg,5550,9.0,8.0,8.0,8.0,9.0
P1_V12_Phase24,frame5551.jpg,5551,9.0,8.0,8.0,8.0,9.0
P1_V12_Phase24,frame5552.jpg,5552,9.0,8.0,8.0,8.0,9.0
P1_V12_Phase24,frame5553.jpg,5553,9.0,8.0,8.0,8.0,9.0
P1_V12_Phase28,frame7443.jpg,7443,9.0,8.0,9.0,9.0,9.0
P1_V12_Phase28,frame7444.jpg,7444,9.0,8.0,9.0,9.0,9.0
P1_V12_Phase28,frame7445.jpg,7445,9.0,8.0,9.0,9.0,9.0
P1_V12_Phase28,frame7446.jpg,7446,9.0,8.0,9.0,9.0,9.0
P1_V12_Phase30,frame8117.jpg,8117,5.0,4.0,5.0,5.0,5.0
P1_V12_Phase30,frame8118.jpg,8118,5.0,4.0,5.0,5.0,5.0
P1_V12_Phase30,frame8119.jpg,8119,5.0,4.0,5.0,5.0,5.0
P1_V12_Phase30,frame8120.jpg,8120,5.0,4.0,5.0,5.0,5.0
P1_V12_Phase34,frame9470.jpg,9470,2.0,1.0,2.0,2.0,2.0
P1_V12_Phase34,frame9471.jpg,9471,2.0,1.0,2.0,2.0,2.0
P1_V12_Phase34,frame9472.jpg,9472,2.0,1.0,2.0,2.0,2.0
P1_V12_Phase34,frame9473.jpg,9473,2.0,1.0,2.0,2.0,2.0
P1_V12_Phase6,frame1238.jpg,1238,7.0,6.0,7.0,7.0,7.0
P1_V12_Phase6,frame1239.jpg,1239,7.0,6.0,7.0,7.0,7.0
P1_V12_Phase6,frame1240.jpg,1240,7.0,6.0,7.0,7.0,7.0
P1_V12_Phase6,frame1241.jpg,1241,7.0,6.0,7.0,7.0,7.0
P1_V12_Phase61,frame17565.jpg,17565,5.0,4.0,5.0,4.0,4.0
P1_V12_Phase61,frame17566.jpg,17566,5.0,4.0,5.0,4.0,4.0
P1_V12_Phase61,frame17567.jpg,17567,5.0,4.0,5.0,4.0,4.0
P1_V12_Phase61,frame17568.jpg,17568,5.0,4.0,5.0,4.0,4.0
P1_V12_Phase65,frame18953.jpg,18953,4.0,3.0,4.0,3.0,3.0
P1_V12_Phase65,frame18954.jpg,18954,4.0,3.0,4.0,3.0,3.0
P1_V12_Phase65,frame18955.jpg,18955,4.0,3.0,4.0,3.0,3.0
P1_V12_Phase65,frame18956.jpg,18956,4.0,3.0,4.0,3.0,3.0
P1_V12_Phase69,frame19871.jpg,19871,5.0,4.0,5.0,4.0,4.0
P1_V12_Phase69,frame19872.jpg,19872,5.0,4.0,5.0,4.0,4.0
P1_V12_Phase69,frame19873.jpg,19873,5.0,4.0,5.0,4.0,4.0
P1_V12_Phase69,frame19874.jpg,19874,5.0,4.0,5.0,4.0,4.0
P1_V13_Phase24,frame6842.jpg,6842,2.0,2.0,1.0,2.0,2.0
P1_V13_Phase24,frame6843.jpg,6843,2.0,2.0,1.0,2.0,2.0
P1_V13_Phase24,frame6844.jpg,6844,2.0,2.0,1.0,2.0,2.0
P1_V13_Phase24,frame6845.jpg,6845,2.0,2.0,1.0,2.0,2.0
P1_V13_Phase28,frame8405.jpg,8405,9.0,8.0,9.0,8.0,9.0
P1_V13_Phase28,frame8406.jpg,8406,9.0,8.0,9.0,8.0,9.0
P1_V13_Phase28,frame8407.jpg,8407,9.0,8.0,9.0,8.0,9.0
P1_V13_Phase28,frame8408.jpg,8408,9.0,8.0,9.0,8.0,9.0
P1_V13_Phase30,frame8988.jpg,8988,4.0,3.0,4.0,3.0,4.0
P1_V13_Phase30,frame8989.jpg,8989,4.0,3.0,4.0,3.0,4.0
P1_V13_Phase30,frame8990.jpg,8990,4.0,3.0,4.0,3.0,4.0
P1_V13_Phase30,frame8991.jpg,8991,4.0,3.0,4.0,3.0,4.0
P1_V13_Phase34,frame10149.jpg,10149,7.0,6.0,7.0,7.0,7.0
P1_V13_Phase34,frame10150.jpg,10150,7.0,6.0,7.0,7.0,7.0
P1_V13_Phase34,frame10151.jpg,10151,7.0,6.0,7.0,7.0,7.0
P1_V13_Phase34,frame10152.jpg,10152,7.0,6.0,7.0,7.0,7.0
P1_V13_Phase38,frame11196.jpg,11196,5.0,4.0,3.0,4.0,4.0
P1_V13_Phase38,frame11197.jpg,11197,5.0,4.0,3.0,4.0,4.0
P1_V13_Phase38,frame11198.jpg,11198,5.0,4.0,3.0,4.0,4.0
P1_V13_Phase38,frame11199.jpg,11199,5.0,4.0,3.0,4.0,4.0
P1_V13_Phase61,frame19027.jpg,19027,9.0,8.0,9.0,8.0,9.0
P1_V13_Phase61,frame19028.jpg,19028,9.0,8.0,9.0,8.0,9.0
P1_V13_Phase61,frame19029.jpg,19029,9.0,8.0,9.0,8.0,9.0
P1_V13_Phase61,frame19030.jpg,19030,9.0,8.0,9.0,8.0,9.0
P1_V13_Phase65,frame20342.jpg,20342,7.0,6.0,7.0,7.0,7.0
P1_V13_Phase65,frame20343.jpg,20343,7.0,6.0,7.0,7.0,7.0
P1_V13_Phase65,frame20344.jpg,20344,7.0,6.0,7.0,7.0,7.0
P1_V13_Phase65,frame20345.jpg,20345,7.0,6.0,7.0,7.0,7.0
P1_V13_Phase69,frame21286.jpg,21286,9.0,8.0,9.0,8.0,9.0
P1_V13_Phase69,frame21287.jpg,21287,9.0,8.0,9.0,8.0,9.0
P1_V13_Phase69,frame21288.jpg,21288,9.0,8.0,9.0,8.0,9.0
P1_V13_Phase69,frame21289.jpg,21289,9.0,8.0,9.0,8.0,9.0
P1_V13_Phase71,frame21776.jpg,21776,2.0,1.0,2.0,2.0,2.0
P1_V13_Phase71,frame21777.jpg,21777,2.0,1.0,2.0,2.0,2.0
P1_V13_Phase71,frame21778.jpg,21778,2.0,1.0,2.0,2.0,2.0
P1_V13_Phase71,frame21779.jpg,21779,2.0,1.0,2.0,2.0,2.0
P1_V13_Phase75,frame23503.jpg,23503,4.0,3.0,4.0,5.0,5.0
P1_V13_Phase75,frame23504.jpg,23504,4.0,3.0,4.0,5.0,5.0
P1_V13_Phase75,frame23505.jpg,23505,4.0,3.0,4.0,5.0,5.0
P1_V13_Phase75,frame23506.jpg,23506,4.0,3.0,4.0,5.0,5.0
P1_V13_Phase79,frame24288.jpg,24288,9.0,9.0,9.0,8.0,9.0
P1_V13_Phase79,frame24289.jpg,24289,9.0,9.0,9.0,8.0,9.0
P1_V13_Phase79,frame24290.jpg,24290,9.0,9.0,9.0,8.0,9.0
P1_V13_Phase79,frame24291.jpg,24291,9.0,9.0,9.0,8.0,9.0
P1_V13_Phase82,frame25073.jpg,25073,9.0,8.0,9.0,8.0,9.0
P1_V13_Phase82,frame25074.jpg,25074,9.0,8.0,9.0,8.0,9.0
P1_V13_Phase82,frame25075.jpg,25075,9.0,8.0,9.0,8.0,9.0
P1_V13_Phase82,frame25076.jpg,25076,9.0,8.0,9.0,8.0,9.0
P1_V13_Phase86,frame26152.jpg,26152,9.0,8.0,9.0,9.0,9.0
P1_V13_Phase86,frame26153.jpg,26153,9.0,8.0,9.0,9.0,9.0
P1_V13_Phase86,frame26154.jpg,26154,9.0,8.0,9.0,9.0,9.0
P1_V13_Phase86,frame26155.jpg,26155,9.0,8.0,9.0,9.0,9.0
P1_V13_Phase92,frame27548.jpg,27548,9.0,9.0,9.0,9.0,9.0
P1_V13_Phase92,frame27549.jpg,27549,9.0,9.0,9.0,9.0,9.0
P1_V13_Phase92,frame27550.jpg,27550,9.0,9.0,9.0,9.0,9.0
P1_V13_Phase92,frame27551.jpg,27551,9.0,9.0,9.0,9.0,9.0
P1_V13_Phase96,frame28478.jpg,28478,9.0,9.0,9.0,9.0,9.0
P1_V13_Phase96,frame28479.jpg,28479,9.0,9.0,9.0,9.0,9.0
P1_V13_Phase96,frame28480.jpg,28480,9.0,9.0,9.0,9.0,9.0
P1_V13_Phase96,frame28481.jpg,28481,9.0,9.0,9.0,9.0,9.0
P1_V14_Phase21,frame10612.jpg,10612,9.0,9.0,9.0,9.0,9.0
P1_V14_Phase21,frame10613.jpg,10613,9.0,9.0,9.0,9.0,9.0
P1_V14_Phase21,frame10614.jpg,10614,9.0,9.0,9.0,9.0,9.0
P1_V14_Phase21,frame10615.jpg,10615,9.0,9.0,9.0,9.0,9.0
P1_V14_Phase25,frame11931.jpg,11931,9.0,9.0,8.0,9.0,9.0
P1_V14_Phase25,frame11932.jpg,11932,9.0,9.0,8.0,9.0,9.0
P1_V14_Phase25,frame11933.jpg,11933,9.0,9.0,8.0,9.0,9.0
P1_V14_Phase25,frame11934.jpg,11934,9.0,9.0,8.0,9.0,9.0
P1_V14_Phase29,frame14750.jpg,14750,9.0,9.0,9.0,9.0,9.0
P1_V14_Phase29,frame14751.jpg,14751,9.0,9.0,9.0,9.0,9.0
P1_V14_Phase29,frame14752.jpg,14752,9.0,9.0,9.0,9.0,9.0
P1_V14_Phase29,frame14753.jpg,14753,9.0,9.0,9.0,9.0,9.0
P1_V14_Phase31,frame15549.jpg,15549,5.0,4.0,5.0,5.0,5.0
P1_V14_Phase31,frame15550.jpg,15550,5.0,4.0,5.0,5.0,5.0
P1_V14_Phase31,frame15551.jpg,15551,5.0,4.0,5.0,5.0,5.0
P1_V14_Phase31,frame15552.jpg,15552,5.0,4.0,5.0,5.0,5.0
P1_V14_Phase35,frame16815.jpg,16815,9.0,9.0,9.0,9.0,9.0
P1_V14_Phase35,frame16816.jpg,16816,9.0,9.0,9.0,9.0,9.0
P1_V14_Phase35,frame16817.jpg,16817,9.0,9.0,9.0,9.0,9.0
P1_V14_Phase35,frame16818.jpg,16818,9.0,9.0,9.0,9.0,9.0
P1_V14_Phase39,frame18809.jpg,18809,9.0,9.0,9.0,9.0,9.0
P1_V14_Phase39,frame18810.jpg,18810,9.0,9.0,9.0,9.0,9.0
P1_V14_Phase39,frame18811.jpg,18811,9.0,9.0,9.0,9.0,9.0
P1_V14_Phase39,frame18812.jpg,18812,9.0,9.0,9.0,9.0,9.0
P1_V15_Phase2,frame3152.jpg,3152,9.0,8.0,9.0,8.0,9.0
P1_V15_Phase2,frame3153.jpg,3153,9.0,8.0,9.0,8.0,9.0
P1_V15_Phase2,frame3154.jpg,3154,9.0,8.0,9.0,8.0,9.0
P1_V15_Phase2,frame3155.jpg,3155,9.0,8.0,9.0,8.0,9.0
P1_V15_Phase21,frame8370.jpg,8370,7.0,7.0,7.0,6.0,7.0
P1_V15_Phase21,frame8371.jpg,8371,7.0,7.0,7.0,6.0,7.0
P1_V15_Phase21,frame8372.jpg,8372,7.0,7.0,7.0,6.0,7.0
P1_V15_Phase21,frame8373.jpg,8373,7.0,7.0,7.0,6.0,7.0
P1_V15_Phase25,frame9949.jpg,9949,7.0,7.0,7.0,6.0,7.0
P1_V15_Phase25,frame9950.jpg,9950,7.0,7.0,7.0,6.0,7.0
P1_V15_Phase25,frame9951.jpg,9951,7.0,7.0,7.0,6.0,7.0
P1_V15_Phase25,frame9952.jpg,9952,7.0,7.0,7.0,6.0,7.0
P1_V15_Phase29,frame11753.jpg,11753,7.0,7.0,7.0,6.0,6.0
P1_V15_Phase29,frame11754.jpg,11754,7.0,7.0,7.0,6.0,6.0
P1_V15_Phase29,frame11755.jpg,11755,7.0,7.0,7.0,6.0,6.0
P1_V15_Phase29,frame11756.jpg,11756,7.0,7.0,7.0,6.0,6.0
P1_V15_Phase31,frame12932.jpg,12932,9.0,8.0,9.0,8.0,9.0
P1_V15_Phase31,frame12933.jpg,12933,9.0,8.0,9.0,8.0,9.0
P1_V15_Phase31,frame12934.jpg,12934,9.0,8.0,9.0,8.0,9.0
P1_V15_Phase31,frame12935.jpg,12935,9.0,8.0,9.0,8.0,9.0
P1_V15_Phase35,frame14369.jpg,14369,9.0,8.0,9.0,8.0,9.0
P1_V15_Phase35,frame14370.jpg,14370,9.0,8.0,9.0,8.0,9.0
P1_V15_Phase35,frame14371.jpg,14371,9.0,8.0,9.0,8.0,9.0
P1_V15_Phase35,frame14372.jpg,14372,9.0,8.0,9.0,8.0,9.0
P1_V15_Phase39,frame15779.jpg,15779,7.0,6.0,7.0,6.0,6.0
P1_V15_Phase39,frame15780.jpg,15780,7.0,6.0,7.0,6.0,6.0
P1_V15_Phase39,frame15781.jpg,15781,7.0,6.0,7.0,6.0,6.0
P1_V15_Phase39,frame15782.jpg,15782,7.0,6.0,7.0,6.0,6.0
P1_V15_Phase6,frame4169.jpg,4169,7.0,6.0,7.0,6.0,6.0
P1_V15_Phase6,frame4170.jpg,4170,7.0,6.0,7.0,6.0,6.0
P1_V15_Phase6,frame4171.jpg,4171,7.0,6.0,7.0,6.0,6.0
P1_V15_Phase6,frame4172.jpg,4172,7.0,6.0,7.0,6.0,6.0
P1_V16_Phase1,frame338.jpg,338,7.0,6.0,7.0,7.0,7.0
P1_V16_Phase1,frame339.jpg,339,7.0,6.0,7.0,7.0,7.0
P1_V16_Phase1,frame340.jpg,340,7.0,6.0,7.0,7.0,7.0
P1_V16_Phase1,frame341.jpg,341,7.0,6.0,7.0,7.0,7.0
P1_V16_Phase11,frame6259.jpg,6259,7.0,7.0,6.0,7.0,6.0
P1_V16_Phase11,frame6260.jpg,6260,7.0,7.0,6.0,7.0,6.0
P1_V16_Phase11,frame6261.jpg,6261,7.0,7.0,6.0,7.0,6.0
P1_V16_Phase11,frame6262.jpg,6262,7.0,7.0,6.0,7.0,6.0
P1_V16_Phase15,frame9025.jpg,9025,5.0,4.0,5.0,5.0,5.0
P1_V16_Phase15,frame9026.jpg,9026,5.0,4.0,5.0,5.0,5.0
P1_V16_Phase15,frame9027.jpg,9027,5.0,4.0,5.0,5.0,5.0
P1_V16_Phase15,frame9028.jpg,9028,5.0,4.0,5.0,5.0,5.0
P1_V16_Phase19,frame11176.jpg,11176,7.0,6.0,7.0,7.0,7.0
P1_V16_Phase19,frame11177.jpg,11177,7.0,6.0,7.0,7.0,7.0
P1_V16_Phase19,frame11178.jpg,11178,7.0,6.0,7.0,7.0,7.0
P1_V16_Phase19,frame11179.jpg,11179,7.0,6.0,7.0,7.0,7.0
P1_V16_Phase9,frame5642.jpg,5642,5.0,4.0,5.0,4.0,5.0
P1_V16_Phase9,frame5643.jpg,5643,5.0,4.0,5.0,4.0,5.0
P1_V16_Phase9,frame5644.jpg,5644,5.0,4.0,5.0,4.0,5.0
P1_V16_Phase9,frame5645.jpg,5645,5.0,4.0,5.0,4.0,5.0
P1_V17_Phase15,frame3392.jpg,3392,7.0,6.0,7.0,7.0,7.0
P1_V17_Phase15,frame3393.jpg,3393,7.0,6.0,7.0,7.0,7.0
P1_V17_Phase15,frame3394.jpg,3394,7.0,6.0,7.0,7.0,7.0
P1_V17_Phase15,frame3395.jpg,3395,7.0,6.0,7.0,7.0,7.0
P1_V17_Phase19,frame4662.jpg,4662,9.0,8.0,8.0,9.0,9.0
P1_V17_Phase19,frame4663.jpg,4663,9.0,8.0,8.0,9.0,9.0
P1_V17_Phase19,frame4664.jpg,4664,9.0,8.0,8.0,9.0,9.0
P1_V17_Phase19,frame4665.jpg,4665,9.0,8.0,8.0,9.0,9.0
P1_V17_Phase40,frame9627.jpg,9627,9.0,9.0,8.0,9.0,9.0
P1_V17_Phase40,frame9628.jpg,9628,9.0,9.0,8.0,9.0,9.0
P1_V17_Phase40,frame9629.jpg,9629,9.0,9.0,8.0,9.0,9.0
P1_V17_Phase40,frame9630.jpg,9630,9.0,9.0,8.0,9.0,9.0
P1_V17_Phase44,frame10264.jpg,10264,9.0,9.0,9.0,9.0,9.0
P1_V17_Phase44,frame10265.jpg,10265,9.0,9.0,9.0,9.0,9.0
P1_V17_Phase44,frame10266.jpg,10266,9.0,9.0,9.0,9.0,9.0
P1_V17_Phase44,frame10267.jpg,10267,9.0,9.0,9.0,9.0,9.0
P1_V17_Phase48,frame11029.jpg,11029,7.0,6.0,7.0,7.0,7.0
P1_V17_Phase48,frame11030.jpg,11030,7.0,6.0,7.0,7.0,7.0
P1_V17_Phase48,frame11031.jpg,11031,7.0,6.0,7.0,7.0,7.0
P1_V17_Phase48,frame11032.jpg,11032,7.0,6.0,7.0,7.0,7.0
P1_V17_Phase50,frame11389.jpg,11389,7.0,6.0,7.0,7.0,7.0
P1_V17_Phase50,frame11390.jpg,11390,7.0,6.0,7.0,7.0,7.0
P1_V17_Phase50,frame11391.jpg,11391,7.0,6.0,7.0,7.0,7.0
P1_V17_Phase50,frame11392.jpg,11392,7.0,6.0,7.0,7.0,7.0
P1_V18_Phase1,frame20.jpg,20,2.0,1.0,2.0,2.0,2.0
P1_V18_Phase1,frame21.jpg,21,2.0,1.0,2.0,2.0,2.0
P1_V18_Phase1,frame22.jpg,22,2.0,1.0,2.0,2.0,2.0
P1_V18_Phase1,frame23.jpg,23,2.0,1.0,2.0,2.0,2.0
P1_V18_Phase23,frame7344.jpg,7344,4.0,3.0,3.0,4.0,3.0
P1_V18_Phase23,frame7345.jpg,7345,4.0,3.0,3.0,4.0,3.0
P1_V18_Phase23,frame7346.jpg,7346,4.0,3.0,3.0,4.0,3.0
P1_V18_Phase23,frame7347.jpg,7347,4.0,3.0,3.0,4.0,3.0
P1_V18_Phase27,frame9322.jpg,9322,9.0,8.0,9.0,8.0,9.0
P1_V18_Phase27,frame9323.jpg,9323,9.0,8.0,9.0,8.0,9.0
P1_V18_Phase27,frame9324.jpg,9324,9.0,8.0,9.0,8.0,9.0
P1_V18_Phase27,frame9325.jpg,9325,9.0,8.0,9.0,8.0,9.0
P1_V18_Phase37,frame12656.jpg,12656,9.0,9.0,9.0,9.0,9.0
P1_V18_Phase37,frame12657.jpg,12657,9.0,9.0,9.0,9.0,9.0
P1_V18_Phase37,frame12658.jpg,12658,9.0,9.0,9.0,9.0,9.0
P1_V18_Phase37,frame12659.jpg,12659,9.0,9.0,9.0,9.0,9.0
P1_V18_Phase5,frame984.jpg,984,5.0,5.0,4.0,5.0,4.0
P1_V18_Phase5,frame985.jpg,985,5.0,5.0,4.0,5.0,4.0
P1_V18_Phase5,frame986.jpg,986,5.0,5.0,4.0,5.0,4.0
P1_V18_Phase5,frame987.jpg,987,5.0,5.0,4.0,5.0,4.0
P1_V18_Phase62,frame21158.jpg,21158,4.0,3.0,4.0,3.0,4.0
P1_V18_Phase62,frame21159.jpg,21159,4.0,3.0,4.0,3.0,4.0
P1_V18_Phase62,frame21160.jpg,21160,4.0,3.0,4.0,3.0,4.0
P1_V18_Phase62,frame21161.jpg,21161,4.0,3.0,4.0,3.0,4.0
P1_V18_Phase66,frame22650.jpg,22650,9.0,9.0,9.0,9.0,9.0
P1_V18_Phase66,frame22651.jpg,22651,9.0,9.0,9.0,9.0,9.0
P1_V18_Phase66,frame22652.jpg,22652,9.0,9.0,9.0,9.0,9.0
P1_V18_Phase66,frame22653.jpg,22653,9.0,9.0,9.0,9.0,9.0
P1_V18_Phase72,frame26138.jpg,26138,2.0,1.0,2.0,1.0,1.0
P1_V18_Phase72,frame26139.jpg,26139,2.0,1.0,2.0,1.0,1.0
P1_V18_Phase72,frame26140.jpg,26140,2.0,1.0,2.0,1.0,1.0
P1_V18_Phase72,frame26141.jpg,26141,2.0,1.0,2.0,1.0,1.0
P1_V18_Phase76,frame27197.jpg,27197,9.0,9.0,9.0,9.0,9.0
P1_V18_Phase76,frame27198.jpg,27198,9.0,9.0,9.0,9.0,9.0
P1_V18_Phase76,frame27199.jpg,27199,9.0,9.0,9.0,9.0,9.0
P1_V18_Phase76,frame27200.jpg,27200,9.0,9.0,9.0,9.0,9.0
P1_V18_Phase81,frame28669.jpg,28669,9.0,9.0,9.0,9.0,9.0
P1_V18_Phase81,frame28670.jpg,28670,9.0,9.0,9.0,9.0,9.0
P1_V18_Phase81,frame28671.jpg,28671,9.0,9.0,9.0,9.0,9.0
P1_V18_Phase81,frame28672.jpg,28672,9.0,9.0,9.0,9.0,9.0
P1_V18_Phase9,frame2258.jpg,2258,9.0,9.0,8.0,9.0,9.0
P1_V18_Phase9,frame2259.jpg,2259,9.0,9.0,8.0,9.0,9.0
P1_V18_Phase9,frame2260.jpg,2260,9.0,9.0,8.0,9.0,9.0
P1_V18_Phase9,frame2261.jpg,2261,9.0,9.0,8.0,9.0,9.0
P1_V19_Phase23,frame9162.jpg,9162,4.0,3.0,4.0,3.0,4.0
P1_V19_Phase23,frame9163.jpg,9163,4.0,3.0,4.0,3.0,4.0
P1_V19_Phase23,frame9164.jpg,9164,4.0,3.0,4.0,3.0,4.0
P1_V19_Phase23,frame9165.jpg,9165,4.0,3.0,4.0,3.0,4.0
P1_V19_Phase27,frame10697.jpg,10697,4.0,5.0,4.0,3.0,4.0
P1_V19_Phase27,frame10698.jpg,10698,4.0,5.0,4.0,3.0,4.0
P1_V19_Phase27,frame10699.jpg,10699,4.0,5.0,4.0,3.0,4.0
P1_V19_Phase27,frame10700.jpg,10700,4.0,5.0,4.0,3.0,4.0
P1_V19_Phase33,frame12811.jpg,12811,2.0,1.0,2.0,1.0,2.0
P1_V19_Phase33,frame12812.jpg,12812,2.0,1.0,2.0,1.0,2.0
P1_V19_Phase33,frame12813.jpg,12813,2.0,1.0,2.0,1.0,2.0
P1_V19_Phase33,frame12814.jpg,12814,2.0,1.0,2.0,1.0,2.0
P1_V19_Phase37,frame14073.jpg,14073,9.0,9.0,9.0,9.0,9.0
P1_V19_Phase37,frame14074.jpg,14074,9.0,9.0,9.0,9.0,9.0
P1_V19_Phase37,frame14075.jpg,14075,9.0,9.0,9.0,9.0,9.0
P1_V19_Phase37,frame14076.jpg,14076,9.0,9.0,9.0,9.0,9.0
P1_V19_Phase62,frame21773.jpg,21773,7.0,6.0,6.0,7.0,7.0
P1_V19_Phase62,frame21774.jpg,21774,7.0,6.0,6.0,7.0,7.0
P1_V19_Phase62,frame21775.jpg,21775,7.0,6.0,6.0,7.0,7.0
P1_V19_Phase62,frame21776.jpg,21776,7.0,6.0,6.0,7.0,7.0
P1_V19_Phase66,frame23114.jpg,23114,9.0,8.0,8.0,8.0,9.0
P1_V19_Phase66,frame23115.jpg,23115,9.0,8.0,8.0,8.0,9.0
P1_V19_Phase66,frame23116.jpg,23116,9.0,8.0,8.0,8.0,9.0
P1_V19_Phase66,frame23117.jpg,23117,9.0,8.0,8.0,8.0,9.0
P1_V19_Phase72,frame24618.jpg,24618,5.0,4.0,5.0,4.0,4.0
P1_V19_Phase72,frame24619.jpg,24619,5.0,4.0,5.0,4.0,4.0
P1_V19_Phase72,frame24620.jpg,24620,5.0,4.0,5.0,4.0,4.0
P1_V19_Phase72,frame24621.jpg,24621,5.0,4.0,5.0,4.0,4.0
P1_V1_Phase3,frame2814.jpg,2814,4.0,5.0,4.0,5.0,4.0
P1_V1_Phase3,frame2815.jpg,2815,4.0,5.0,4.0,5.0,4.0
P1_V1_Phase3,frame2816.jpg,2816,4.0,5.0,4.0,5.0,4.0
P1_V1_Phase3,frame2817.jpg,2817,4.0,5.0,4.0,5.0,4.0
P1_V1_Phase7,frame9218.jpg,9218,4.0,3.0,4.0,3.0,4.0
P1_V1_Phase7,frame9219.jpg,9219,4.0,3.0,4.0,3.0,4.0
P1_V1_Phase7,frame9220.jpg,9220,4.0,3.0,4.0,3.0,4.0
P1_V1_Phase7,frame9221.jpg,9221,4.0,3.0,4.0,3.0,4.0
P1_V20_Phase12,frame3237.jpg,3237,9.0,9.0,9.0,9.0,9.0
P1_V20_Phase12,frame3238.jpg,3238,9.0,9.0,9.0,9.0,9.0
P1_V20_Phase12,frame3239.jpg,3239,9.0,9.0,9.0,9.0,9.0
P1_V20_Phase12,frame3240.jpg,3240,9.0,9.0,9.0,9.0,9.0
P1_V20_Phase16,frame4434.jpg,4434,9.0,9.0,9.0,9.0,9.0
P1_V20_Phase16,frame4435.jpg,4435,9.0,9.0,9.0,9.0,9.0
P1_V20_Phase16,frame4436.jpg,4436,9.0,9.0,9.0,9.0,9.0
P1_V20_Phase16,frame4437.jpg,4437,9.0,9.0,9.0,9.0,9.0
P1_V20_Phase3,frame686.jpg,686,7.0,7.0,6.0,6.0,7.0
P1_V20_Phase3,frame687.jpg,687,7.0,7.0,6.0,6.0,7.0
P1_V20_Phase3,frame688.jpg,688,7.0,7.0,6.0,6.0,7.0
P1_V20_Phase3,frame689.jpg,689,7.0,7.0,6.0,6.0,7.0
P1_V20_Phase7,frame1775.jpg,1775,9.0,9.0,8.0,9.0,9.0
P1_V20_Phase7,frame1776.jpg,1776,9.0,9.0,8.0,9.0,9.0
P1_V20_Phase7,frame1777.jpg,1777,9.0,9.0,8.0,9.0,9.0
P1_V20_Phase7,frame1778.jpg,1778,9.0,9.0,8.0,9.0,9.0
P1_V21_Phase16,frame7482.jpg,7482,4.0,3.0,4.0,3.0,3.0
P1_V21_Phase16,frame7483.jpg,7483,4.0,3.0,4.0,3.0,3.0
P1_V21_Phase16,frame7484.jpg,7484,4.0,3.0,4.0,3.0,3.0
P1_V21_Phase16,frame7485.jpg,7485,4.0,3.0,4.0,3.0,3.0
P1_V21_Phase43,frame18502.jpg,18502,9.0,8.0,8.0,8.0,9.0
